X,Y,rho,u,v,P
0.025000,0.024000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.072000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.120000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.168000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.216000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.264000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.312000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.360000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.408000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.456000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.504000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.552000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.600000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.648000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.696000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.744000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.792000,1.184662,686.470000,0.000000,99719.000000
0.025000,0.840000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.888000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.936000,1.184662,686.470000,-0.000000,99719.000000
0.025000,0.984000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.032000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.080000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.128000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.176000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.224000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.272000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.320000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.368000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.416000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.464000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.512000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.560000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.608000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.656000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.704000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.752000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.800000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.848000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.896000,1.184662,686.470000,0.000000,99719.000000
0.025000,1.944000,1.184662,686.470000,-0.000000,99719.000000
0.025000,1.992000,1.184662,686.470000,-0.000000,99719.000000
0.025000,2.040000,1.184662,686.470000,-0.000000,99719.000000
0.025000,2.088000,1.184662,686.470000,0.000000,99719.000000
